FBID	ZT0	ZT4	ZT8	ZT12	ZT16	ZT20
FBtr0070000	0	0.00251128	0	0	0	0
FBtr0307554	1.42428	11.595	5.44109	1.37319	0.371674	1.67442
FBtr0307555	33.7683	22.9833	29.7446	31.6204	38.5298	36.6896
FBtr0070002	0	0	0	0	0	0
FBtr0070003	0	0	0	0	0	0
FBtr0301569	0.0959211	0.109498	0.148324	0.0162163	0.0644136	0.104744
FBtr0343166	3.09025e-05	2.94008e-05	2.44512e-05	2.68747e-05	3.24378e-05	3.37449e-05
FBtr0070029	0	0	0	0	0	0
FBtr0301572	0	0	0	0	0	0
FBtr0070032	0	0	0	0	0	0
FBtr0070035	0	0	0	0	0	0.0616053
FBtr0070036	5.23574	2.79387	2.66534	2.9187	4.28857	2.51004
FBtr0070045	21.7061	17.1324	24.1503	24.0179	31.588	30.1079
FBtr0070046	26.3051	17.3911	22.9988	19.417	34.2806	26.0857
FBtr0299869	2192.24	1847.68	1594.21	1980.35	1765.64	2424.45
FBtr0299870	221.64	235.82	157.75	183.372	134.994	294.426
FBtr0333910	19.5859	16.4954	20.2153	19.1831	24.0026	20.746
FBtr0070063	1.76214	2.92784	1.3947	2.18861	1.17154	1.76383
FBtr0332992	7.47029	6.29689	7.14925	5.72727	7.95937	6.57076
FBtr0070064	3.177	0.398405	16.7148	0.0046135	0	7.89839
FBtr0070065	21.0222	23.874	7.01041	22.073	23.5773	15.5421
FBtr0070066	2.20084	0.476829	0.115151	0.757964	0.455339	2.25088
FBtr0070067	0.00238517	0.0013268	1.47821	0.00150161	0.00147256	0.0027611
FBtr0070068	0	0	0	0	0	0
FBtr0342962	0.138553	0	0.103671	0	0.483958	0.229651
FBtr0344149	0	2.63478	0	0	0	0
FBtr0070069	1.16494	1.2831	0.853044	0.674641	0.960948	1.0042
FBtr0070070	1.85666	1.61476	1.47616	1.03275	1.48462	1.27433
FBtr0070071	0.912045	0.840467	0.925295	0.627247	1.02097	0.840275
FBtr0070072	0	0	0	0	0	0
FBtr0070073	0	0	0	0	0.0474974	0
FBtr0070074	0	0	0	0	0	0
FBtr0070075	0	0	0	0	0	0.0256643
FBtr0070076	0	0.15226	0	0.324497	0.410913	0.403194
FBtr0112947	2.65636	1.00607	0.662408	0.655156	2.5132	1.13947
FBtr0070077	0.632763	0.300904	0	0.267842	0.177117	0.663135
FBtr0336919	0	0	0.127286	0	0	0.194245
FBtr0300328	0	0	0	0	0	0
FBtr0070078	0	0	0	0	0	0
FBtr0336920	9.36202e-06	0.695885	0.54953	0	8.27591e-06	0
